k,n1,n2,a1,a2,a3,a4,a5,a6,a7,a8,n3,n4,a9,a10
形,,,古老的,古旧的,陈旧的,古色古香的,,,,,古老,,,
形,,,有精神的,没精神的,打起精神的,精神十足的,,,,,愉悦,,,
形,光辉,,光辉的,辉耀的,,,,,,,闪耀,,闪烁的,
形,,,无名的,有名的,,,,,,,,,,
形,,,可怕的,恐怖的,吓人的,,,,,,,,,
形,,,某一个,唯一的,成为一体的,,,,,,,,,
形,气质,,高贵的,高洁的,有气质的,风度翩翩的,,,,,,,,
形,,,落魄的,破败的,即使落魄但有,,,,,,,,,
形,,,未修正的,被修正的,,,,,,,,,,
形,超越,,卓越的,出类拔萃的,元老级的,超越的,,,,,,,,
形,限界,,超越限界的,不知极限的,超出界限的,,,,,,,,,
形,,,冷静的,冷彻的,冷淡的,,,,,,,,,
形,华丽,,华丽的,,,,,,,,,,,
形,传承,,被传颂的,被传诵的,传颂的,,,,,,,,,
形,消失,丧失,不会消失的,消失的,失落的,消灭的,,,,,,,,
形,,,不过是,仅是,单纯的,所谓的,普通的,平常的,毫无变化的,平凡的,,,普通的,通常的
形,,,迷茫的,迷惑的,彷徨的,迷离的,迷之,,,,,,迷途的,
形,希望,展望,希望的,未来展望之,怀着希望的,没有希望的,无法展望的,向着希望的,有希望的,舍弃希望的,愿望,,期望的,
时,永远,悠久,永远的,永久的,悠久的,一直的,无论何时之,无论何处之,总是,,永世,,永世的,恒久的
时,时,时间,花费时间的,停止时间的,拨动时间的,操作时间的,藏于时间的,被时光埋没的,,,时光,,时之,
时,永远,永劫,永远的,永劫的,非永远的,追求永远的,寻求永远的,成为永远的,无论何时都是,,千万年,,,
时,过去,昔,熟悉的,过去的,回顾过去的,,,,,,,,过去的,
时,未来,,向着未来的,相信未来的,叛逆未来的,逃避未来的,走向未来之,,,,将来,,将来的,
时,昨日,,昨日也是,沉湎昨日的,,,,,,,往日,,昨日的,
时,明日,,向着明日的,逃避明日的,相信明日的,明天也一定的,寻找明天的,焦急地等待明天的,,,未来,,明日的,
时,来世,前世,向着来世的,来世是,来世将是,来世会是,相信来世的,,,,,,,
时,时,时间,偶尔会是,失去时间的,随时间流逝的,回溯时间的,,,,,时刻,时钟,,
时,夕,黄昏,染尽黄昏的,沉浸夕阳的,,,,,,,日暮,,,
时,朝,黎明,早晨总是,早晨醒来的,不擅清晨的,害怕早晨的,,,,,早晨,,朝时的,
时,夜,拂晓,染上黑夜的,夜晚总是,溶于夜色的,在黎明时狂暴的,不擅黑夜的,,,,夜色,黎明,,
时,昼,白昼,,,,,,,,,白天,,,
时,深夜,午夜,深夜醒来的,在午夜彷徨的,在黑夜中彷徨的,融入黑夜的,,,,,夜晚,,深夜的,
时,晓,,染上朝阳的,溶于拂晓的,,,,,,,破晓,,曙光之,
时,宵,宵暗,染上夜色的,溶于夜晚的,,,,,,,,,,
兽,羊,羊崽,养羊的,带着羊的,狩猎羊的,,,,,,绵羊,,,
兽,牛,斗牛,养牛的,狩猎牛的,宰杀牛的,,,,,,牛,,牛之,
情,爱,爱情,爱的,被爱着的,想要被爱的,想去爱的,从未被爱过的,追寻爱的,不知道爱的,没有爱的,爱恋,,,
情,恋爱,恋,陷入爱情的,恋情破裂的,忘记了恋爱的,禁止恋爱的,不谈恋爱的,不再恋爱的,不知恋爱的,热恋的,,,,
情,友情,信赖,背叛了信任的,破坏友情的,失去了信任的,失去了朋友的,,,,,,,,
情,勇气,,没有勇气的,勇气被挫伤了的,失去了勇气的,充满了勇气的,鼓起了勇气的,勇猛的,勇敢的,,,,,
色,赤,红,通红的,红之,赤红的,染成红色的,染红之,披红的,披红之,溶于红色的,红色,深红,赤红的,暗红的
色,青,蓝,蔚蓝的,蓝之,蓝色的,染成蓝色的,染蓝之,披蓝的,披蓝之,溶于蓝色的,蓝色,,青色的,
色,白,纯白,纯白的,白之,白色的,染成白色的,染白之,披白的,披白之,溶于白色的,白色,,苍白的,
色,黄,,泛黄的,,黄色的,染成黄色的,染黄之,披黄的,披黄之,,黄色,,明黄的,
色,紫,,,,,染成紫色的,染紫之,披紫的,披紫之,,紫色,,绚紫的,
色,黑,漆黑,纯黑的,黑之,黑色的,染成黑色的,染黑之,披黑的,披黑之,,黑色,,纯黑的,
色,金,黄金,染金色的,,,染成金色的,染金之,披金的,披金之,,金色,,黄金的,纯金的
色,银,银色,,,,染成银色的,染银之,披银的,披银之,,纯银,,白银的,
色,光,光线,追求光明的,有光的,无光的,发光的,厌恶光的,身披光明的,被光舍弃的,向着光的,光明,,,
色,暗,常暗,追求暗的,倾心于暗的,逃避暗的,染成暗的,浸染暗之,身披黑暗的,向着暗的,将暗舍弃的,昏暗,,,
色,虹,,追求虹的,向着虹的,寻求虹的,,,,,,彩虹,,虹色的,
色,黑暗,暗黑,窝在黑暗中的,倾心于黑暗的,极其黑暗的,染上黑暗的,浸染黑暗之,走向黑暗的,住在黑暗中的,隐藏在黑暗中的,纯暗,阴影,黑影的,
色,苍蓝,碧,深蓝的,身披天苍的,身披碧蓝的,,,,,,,,,
色,红莲,红,染上红莲的,涂成红色的,,,,,,,绯红,,猩红的,
色,纯白,,,,,,,,,,,,,
色,漆黑,,,,,,,,,,,,,
色,红莲,红,,,,,,,,,,,,
神,神,绝对神,为了神的,神是,神圣的,向神祈祷的,祈求神的,,,,神明,,上帝的,
神,皇帝,帝,,,,,,,,,帝王,,帝王的,
神,法皇,教皇,,,,,,,,,神官,大神官,,
神,王,大公,,,,,,,,,国王,国主,君主的,
人,战士,斗士,,,,,,,,,战士,斗士,勇士的,
人,不死者,死者,,,,,,,,,丧尸,死亡,丧尸的,尸体的
人,公爵,伯爵,,,,,,,,,领主,侯爵,,
人,骷髅,骸骨,,,,,,,,,白骨,骨骼,骨架的,骨头的
人,剑士,剑斗士,,,,,,,,,剑客,,,
人,佣兵,保镖,,,,,,,,,雇佣兵,,雇佣兵的,被雇佣者的
人,魔术师,魔法使,,,,,,,,,巫师,法师,魔法师的,智者的
人,骑士,骑兵,,,,,,,,,铁骑,,骑士的,
人,炼金术师,炼金使,,,,,,,,,炼金术士,,,
人,天使,,,,,,,,,,大天使,,天使的,
人,使徒,使者,,,,,,,,,报信人,信使,,
人,医者,医师,,,,,,,,,医生,医护人员,博士的,医学者的
人,强盗,,,,,,,,,,盗匪,,,
人,盗贼,盗窃者,,,,,,,,,小偷,,贼人的,
人,僧侣,僧兵,,,,,,,,,和尚,武僧,,
人,勇者,勇士,,,,,,,,,,,勇夫的,力士的
人,霸者,支配者,,,,,,,,,大师,,宗主的,
人,贤者,知者,,,,,,,,,智者,,,
人,冒险者,旅人,,,,,,,,,旅行者,,游客的,
人,逃亡者,流浪者,,,,,,,,,漫游者,,漫步者的,
人,恶徒,流放者,,,,,,,,,匪徒,,匪徒的,
人,诗人,吟游诗人,,,,,,,,,游吟诗人,作诗人,,
人,狼,白狼,,,,,,,,,野狼,,,
人,狮子,金狮子,,,,,,,,,狮,,野生狮子的,
人,幻术师,幻术使,,,,,,,,,幻象大师,,,
人,催眠术师,,,,,,,,,,,,,
人,少年,青年,像个少年的,仿佛少年的,装扮成少年的,寻找少年的,爱上少年的,,,,男孩,男人,男孩们的,男人们的
人,少女,淑女,像个少女的,仿佛少女的,装扮成少女的,寻找少女的,爱上少女的,,,,女孩,少女,女孩们的,
人,老人,,老气的,像老人一样的,假装老人的,杀死老人的,讨厌老人的,,,,,,老的,长者的
人,孩子,子,孩子气的,像小孩子一样的,装孩子的,拐骗孩子的,,,,,儿童,,小孩子的,
人,婴儿,年龄,婴儿般的,有效的,年幼的,刚出生的,,,,,宝宝,,宝宝的,
人,死人,尸体,搜寻尸体的,掩埋尸体的,变成了尸体的,变成了死人的,寻找死人的,喜欢尸体的,玷污尸体的,制造尸体的,逝者,不死者,尸体的,
人,尸,骸,成为尸骸的,成为骸骨的,被骸骨魅惑的,,,,,,尸首,,,
人,龙,飞龙,统帅龙的,狩猎龙的,乘坐龙的,吞噬龙的,被龙打倒的,爱着龙的,恋上龙的,,巨龙,龙族,龙的,
人,怪人,怪物,如怪物的,像怪物一样的,脱离人性的,屠杀怪物的,杀死怪物之,,,,怪物,妖怪,,
人,异邦人,外国人,来自远方的,谁也不知道的,未知国度的,外国的,他国的,从异国来的,,,异度者,,外乡人的,
人,狂人,疯子,疯狂的,狂人般的,像疯了一样的,失心疯的,,,,,神经病,,狂人的,
人,天才,鬼才,才华横溢的,炫耀才能的,被称为天才的,被称为鬼才的,,,,,奇才,,,
人,神童,天赐之子,,,,,,,,,天赋,,,
人,成瘾者,成瘾患者,成瘾的,上瘾的,有瘾的,瘾头犯了的,让人上瘾的,瘾头过了的,,,毫无价值,毒虫,中毒者的,
人,这个,流浪者,这是,然后是,那里是,那个是,那才是,那个是,,,垃圾渣滓,毒渣,毒瘾者的,
人,病人,患者,像病人一样的,扮演病人的,疾病的,感染的,带病的,被传染了病的,,,重患,,,
人,恋人,爱人,像恋人一样的,像爱人一样的,爱人是,恋人是,献给爱人的,献给恋人的,,,爱人,女主人,爱人的,爱之
人,父,双亲,父亲的,继承父亲的,为了父亲的,父亲是,献给父亲的,献给两亲的,杀害亲人的,杀害父亲的,爹爹,,家族的,
人,母,圣母,母亲的,继承母亲的,为了母亲的,母亲是,杀害母亲的,献给母亲的,,,妈妈,玛丽亚,,
人,兄,姐,哥哥的,继承哥哥的,为了哥哥的,哥哥是,献给兄长的,献给姐姐的,杀害兄长的,杀害姐姐的,兄长,大姐,大哥的,家姐的
人,妹,弟,为了妹妹的,为了弟弟的,妹是,弟是,献给妹妹的,供奉给妹妹的,杀害妹妹的,,,,,
人,儿子,女儿,为了儿子的,为了女儿的,妹妹是,弟弟是,儿子是,女儿是,,,儿子,女儿,,
人,兄弟,姐妹,为了兄弟的,为了姐妹的,兄弟是,姐妹是,,,,,兄弟,姐妹,,
人,幽鬼,幽灵,狩猎幽灵的,狩猎幽鬼的,寻找幽灵的,寄宿幽灵的,被灵迷住的,带着灵的,和灵交流的,,鬼魂,亡灵,,
人,虎,白虎,狩猎虎的,杀虎之,如虎一般的,杀虎的,操纵虎的,带着虎的,虎口脱险的,被虎吃掉的,猛虎,,老虎的,
人,巨人,巨汉,猎杀巨人之,仿佛巨人的,杀死巨人的,操纵巨人的,吞噬巨人的,逃离巨人的,躲避巨人的,狩猎巨人的,泰坦,,泰坦的,
人,兽,动物,充满兽臭的,猎兽之,像野兽一样的,杀兽的,喜欢动物的,爱动物的,吞吃野兽的,逃离动物的,动物,,畜生的,
人,渔人,渔师,享受钓鱼乐趣的,一个劲地钓鱼的,钓得太多了的,喜欢钓鱼的,爱钓鱼的,被钓到的,被钓太多的,被钓到后,鱼,渔夫,鱼类的,
人,叛逆儿,反抗者,反抗的,反叛的,无法对峙的,面对对方的,对峙的,不屈的,不屈不挠的,站起来的,谋反者,,平级者的,
人,逆贼,抵抗者,抵抗的,停止抵抗的,放弃抵抗的,放弃了抵抗的,抗争的,,,,反对者,,,
人,信徒,崇拜者,信徒的,像信徒的,杀死信徒之,被信徒杀的,狩猎信徒之,讨厌信徒的,逃离信徒的,成为信徒的,狂信者,虔诚者,异教徒的,
人,武士,侍,武士道的,侍魂的,,,,,,,刀侍,刀武士,武侍者的,武士道者的
人,忍者,忍,,,,,,,,,忍士,,忍士的,
人,将军,教官,,,,,,,,,将领,大将军,统帅的,将领的
人,鬼,妖怪,狩猎鬼的,狩猎妖怪的,杀鬼的,杀妖之,逃离鬼的,像鬼一样的,如鬼一般的,食鬼之,幽魂,,幽灵的,
人,猫,小猫,狩猎猫的,狩猎猫的,喜欢猫的,操纵猫的,如同猫的,饲养猫的,从猫那里逃走的,食猫之,咪咪,,,
人,狗,小狗,狩猎狗的,狩猎狗的,喜欢狗的,操纵狗的,如同狗的,饲养狗的,从狗那里逃走的,食狗之,犬,,,
人,鹰,鹫,狩猎鹰的,狩猎鹫的,操纵鹰的,操纵鹫的,带着鹰的,带着鹫的,如同鹰的,如同鹫的,雄鹰,飞鹰,,
人,武人,智将,,,,,,,,,,,,
人,知者,识者,,,,,,,,,,,,
人,射手,护林员,,,,,,,,,,,,
人,愚者,小丑,像小丑的,装扮成小丑的,讨厌小丑的,成为小丑的,装成笨蛋的,假装笨蛋的,爱着笨蛋的,,傻瓜,,呆子的,
人,指挥者,表现者,,,,,,,,,艺术大师,指挥官,,
人,流浪者,探究者,流浪的,自由的,漂泊之,潜伏的,彷徨的,结束流浪的,结束探索的,,闲逛者,搜寻者,漫游者的,搜寻大师的
人,策士,,图谋划策的,中了计的,筹划的,反被聪明误的,筹划中的,中计的,,,,,,
人,善人,伪善者,善良的,好,装成伪善者的,装成善人的,不好的,装好人,,,,,,
人,恶人,,恶意的,坏,装成恶人的,装坏的,还行的,装坏人,,,,,,
人,少女,女神,狩猎少女的,狩猎女神的,假扮少女的,爱上少女的,玷污少女的,玷污女神的,追求女神的,,维纳斯,,维纳斯的,
人,左手腕,右手腕,,,,,,,,,左手,右手,左手的,
位置,东方,,东方的,北方的,西方的,南方的,东面的,,,,西面,北面,西面的,东面的
位置,西方,,向东的,向北的,向西的,向南的,,,,,东面,南面,南面的,北方的
人,新归,新星,,,,,,,,,新规矩,新面孔,,
人,赌王,赌博师,赌上命运的,赌上胜负的,比赛失败的,放弃胜败的,赌输了的,,,,赌徒,赌博,赌棍的,
人,欺诈师,骗子,欺骗的,被欺骗的,被骗的,,,,,,骗人者,,,
人,贵公子,,,,,,,,,,,,,
人,使唤人,奴隶,,,,,,,,,奴仆,,,
人,下仆,侍者,顺从的,直率的,变顺从的,,,,,,,,,
人,背叛者,卖国贼,背叛的,无法忘记背叛的,不允许背叛的,似乎要背叛的,,,,,叛徒,,,
人,女流氓,娼妇,露骨的,厌恶妓女的,污秽的,被玷污的,,,,,妓女,,婊子的,
人,美人,贵妇人,,,,,,,,,美女,靓女,女士的,漂亮女人的
人,美男子,绅士,,,,,,,,,老爷,,贵人的,
人,人形,人类,非人之,想成为人的,讨厌人的,食人之,养人的,狩猎人类的,统帅人类的,,人,,智人种的,
人,士兵,兵,,,,,,,,,兵士,,当兵的,
人,审判,制裁,制裁,裁决的,被裁决的,被制裁之,等待裁决的,等待审判的,带来裁决的,带来审判的,判定,检定,,
人,醉鬼,,喝醉了的,蹒跚的,摇晃的,沉醉的,,,,,喝酒者,,喝白眼的,
人,入侵者,侵略者,入侵的,侵蚀之,侵犯之,被盯上的,被针对的,,,,闯入者,,,
人,蜘蛛,,像蜘蛛一样的,害怕蜘蛛的,操纵蜘蛛的,,,,,,织蛛,,,
人,隐者,匠,隐藏的,隐匿的,,,,,,,隐士,,独居的,
人,救世主,,无药可救的,寻求拯救的,给予拯救之,,,,,,救世者,救护者,,
人,恶魔,魔,如同恶魔的,恶魔的,像恶魔一样的,鬼迷心窍的,,,,,魔鬼,迪亚波罗,,
人,炮兵,狙击手,,,,,,,,,狙击者,,,
人,教授,,,,,,,,,,讲师,,教员,
人,猎犬,看门狗,,,,,,,,,护卫犬,,,
人,傀儡,机关,装有时钟的,装有机械的,,,,,,,,,,
人,杀手,暗杀者,杀死,想要杀戮的,几乎被杀掉的,差点被杀的,,,,,刺客,,,
人,掠夺者,逃亡者,逃亡之,成功逃脱的,想要逃亡的,掠夺之,被掠夺的,,,,,,,
人,上校,,,,,,,,,,上校,,上校的,军士的
人,转世,化身,,,,,,,,,,,,
人,敌,仇,,,,,,,,,敌人,,,
人,防卫者,守护者,,,,,,,,,防御者,,守护者的,
人,治疗师,治愈,愈合的,治疗的,被治愈的,恢复的,没治好的,,,,恢复,恢复,治疗的,
人,伙伴,友,很多伙伴的,没伙伴的,离群的,寻求朋友的,想要朋友的,,,,朋友,,友善的,
人,英雄,,想成为英雄的,嫉妒英雄的,憧憬英雄的,被称为英雄的,,,,,英豪,,英雄的,
人,豪杰,公牛,,,,,,,,,,,,
人,奴隶,罪人,负罪的,背负罪的,无辜的,无罪的,因罪受苦的,偿还罪恶的,受罪苛责的,,奴隶,,奴隶的,
人,魔女,恶女,,,,,,,,,女巫,,女巫的,
人,重战士,重骑士,,,,,,,,,,,,
人,宠儿,奇才,,,,,,,,,,,,
人,人偶,傀儡,,,,,,,,,木偶,提线木偶,木偶的,
人,妻,人妻,,,,,,,,,老婆,,,
人,鸦,,,,,,,,,,,,,
人,夫,猪,,,,,,,,,,,,
人,哲学家,,会思考的,苦恼的,烦恼的,令人烦恼的,,,,,,,,
人,主谋,,,,,,,,,,,,,
人,罪人,,,,,,,,,,,,有罪的,
人,名人,仙人,,,,,,,,,大师,,主任的,
人,达人,,,,,,,,,,,,,
人,老板,主,,,,,,,,,老大,,,
世界,冥界,地狱界,,,,,,,,,,,,
星,彗星,陨石,,,,,,,,,陨石,孛星,陨石的,彗星的
星,月影,月光,月光下的,碎月之,月下的,沐浴着月光的,带着月光的,,,,月亮,月光,月之,
星,月影,满月,,,,,,,,,,,,
星,太阳,阳光,,,,,,,,,太阳,日光,,
星,星,星屑,成为星星的,追星之,化为星屑的,被星照耀的,被星星照亮的,,,,星星,星辰,星之,星辰的
石,石,魔石,投石的,投出石头的,击碎的,变硬的,,,,,石头,巨石,,
石,钻石,钻,,,,,,,,,金刚石,,,
石,蓝宝石,,,,,,,,,,蓝玉,,,
石,红宝石,,,,,,,,,,红玉,,,
石,珍珠,,,,,,,,,,珍珠,,,
石,钢,钢铁,,,,,,,,,钢铁,,,
石,铜,青铜,,,,,,,,,铜,,,
石,白金,白银,,,,,,,,,,,,
石,水晶,,,,,,,,,,,,,
属,冰,冰河,像冰一样的,冰冷之,冻住的,,,,,,冰块,,冰雪,
属,水,,,,,,,,,,液体,,液体的,水之
属,火,火炎,和火一样的,灼热之,冒烟的,呛人的,蒸腾的,,,,火焰,烈火,火炎的,烈火的
属,土,大地,,,,,,,,,土地,地面,土地的,地面的
属,雷,,像雷一样的,麻痹之,,,,,,,闪电,,闪电的,
属,炎,,火焰般的,燃烧的,燃烧殆尽的,化为灰烬的,,,,,,,,
属,砂,沙漠,,,,,,,,,沙子,沙漠,沙之,沙漠的
属,空,长空,飞翔在天的,四处飞行的,,,,,,,苍穹,,天空的,高
属,天空,天,上天的,,,,,,,,以太,,以太的,
属性,神圣,,神圣的,神圣之,圣之,,,,,,,,神圣的,
属性,祝福,,被祝福的,祝福的,,,,,,,祈福,,祈福之,
属性,邪恶,恶,恶堕的,邪恶的,邪之,,,,,,罪恶,,邪恶的,恶毒的
属性,诅咒,咒缚,被诅咒的,诅咒之,被咒的,,,,,,祸殃,,诅咒的,
属性,善,慈善,善之,,,,,,,,善良,,好,
属性,混沌,,混沌之,混沌的,侍奉混沌的,崇尚混沌的,统治混沌的,染上混沌的,带来混沌的,,无序,混乱,混乱的,
属性,秩序,节制,秩序之,有秩序的,没有秩序的,侍奉秩序的,崇尚秩序的,染上秩序的,带来秩序的,,有序,守序,秩序的,平衡的
属性,均衡,,,,,,,,,,平衡,,,
属性,中立,中庸,中立之,中立的,,,,,,,中性,,中性的,
属性,影,幻影,影之,无影,潜伏于影的,融于影的,,,,,阴影,黑影,,
属性,云,乌云,,,,,,,,,,,,
族,贵族,,,,,,,,,,,,,
族,王族,王室,,,,,,,,,,,,
族,魔族,,,,,,,,,,,,,
族,精灵,,,,,,,,,,,,,
族,妖精,,,,,,,,,,,,,
族,雪,雪月花,,,,,,,,,,,,
族,一族,一家,,,,,,,,,,,,
体,单腕,右腕,,,,,,,,,,,,
体,指,手,,,,,,,,,,,,
体,腕,肩,,,,,,,,,,,,
体,脚,腰,,,,,,,,,,,,
体,脑,头脑,,,,,,,,,,,,
体,瞳,眼,,,,,,,,,,,,
动,舞,舞蹈,舞动之,起舞之,一个劲地跳舞的,跳得太多了的,停止舞动之,舞蹈之,被带起舞的,不会跳舞的,跳舞,,跳舞的,
动,笑,失笑,发笑之,大笑之,笑太多的,笑得出来的,笑不出的,不笑的,笑了的,被嘲笑的,笑容,,笑之,
动,轻笑,微笑,微笑之,微笑太多的,无法微笑之,,,,,,浅笑,,微笑的,
动,飞翔,飞行,飞天之,飞得太远的,遥远飞行之,可飞行的,飞吧,不能飞的,飞啊,被打飞的,飞天,翱翔,飞行的,
动,跳跃,飞跃,跳跃的,跳过头的,跳太高的,跳起的,,不跳跃的,,,小跳,蹦跳,,跃之
动,停滞,停止,停下的,停止的,停不住的,停下吧,止不住的,止住的,不能停止的,停止了的,中止,,,
动,叫喊,大叫,呐喊之,叫出声的,叫过头的,叫喊的,叫不出声的,无法叫出声的,哭嚎之,,呼喊,呼号,,
动,哭声,哭号,哭泣,哭喊的,哭起来的,哭过头的,不哭的,在哭的,哭不出来的,哭泣的,哭喊,,恸哭的,
动,破坏,覆灭,损坏的,坏过头的,破坏过度的,惨遭破坏的,被破坏的,不坏的,破坏的,,毁坏,,覆灭的,
动,破灭,消灭,毁灭之,不灭的,被毁灭的,坏掉的,,,,,摧灭,,,
动,呻吟,呻吟声,呻吟之,开始呻吟的,呻吟过头的,哼哼的,无法呻吟的,呻吟过度的,拚命挣扎的,,低吟,,低吟的,
动,喘息,喘息声,喘息之,开始喘息的,,喘气的,急喘的,痛苦喘息的,扭动身体的,,,,,
动,,,轻视之,被小看的,被过于小看的,,,,,,,,,
动,反抗,反逆,反抗之,不反抗的,不能反抗的,反抗的,,,,,,,,
动,抵抗,抗争,叛逆之,不忤逆的,无法忤逆的,忤逆的,,,,,抵制,,,
动,冲突,,冲突之,不冲突的,无法冲突的,冲突的,,,,,,,,
动,挑战,,挑衅的,放弃的,决不放弃之,,,,,,搦战,,,
动,,,复苏之,苏生之,,,,,,,,,,
动,复活,,复活的,,,,,,,,,,,
动,再生,不灭,,,,,,,,,,,,
动,乱交,,,,,,,,,,,,,
动,谋反,,,,,,,,,,,,,
动,调教,,被调教的,,,,,,,,,,,
动,调和,,,,,,,,,,,,,
动,响动,,,,,,,,,,,,,
动,共鸣,,共鸣的,时常鸣叫的,,,,,,,,,,
动,支配,,被支配的,逃离支配的,,,,,,,,,,
动物,豹,虎狼,像豹一样的,,,,,,,,,,,
动物,隼,,像隼一样的,,,,,,,,秃鹰,,,
动物,蝎,,,,,,,,,,,,,
动物,蛇,,,,,,,,,,,,,
动物,狐,,,,,,,,,,,,,
普,收获,,,,,,,,,,丰收,,丰收之,
普,地平线,水平线,,,,,,,,,天涯,,,
普,破灭,破局,破灭的,破局的,破灭之,向着破灭的,,,,,毁灭,,毁灭的,
普,震撼,地震,震撼之,震动之,,,,,,,地动,地鸣,,
普,狭,狭义,,,,,,,,,,,,
普,仁,仁义,,,,,,,,,,,,
普,不可思议,,不可思议的,,,,,,,,,,,
普,孤高,孤独,高尚的,喜欢孤独的,不想被触摸的,带着孤独的,,,,,孤寂,,孤寂的,
普,法皇,无法,法外的,违法的,,,,,,,法律,,非法的,合法的
物,战车,重战车,,,,,,,,,坦克,,,
物,麻药,媚药,如同毒品的,用药过度的,,,,,,,迷药,,,
物,键,,,,,,,,,,钥匙,,,
物,肉体,肉,讨厌肉的,肉质好的,喜欢肉的,,,,,,血肉,胴体,鲜肉的,外表的
物,精神,心,有心之,无心之,没有心的,有心的,心胸狭窄的,心胸宽阔的,,,心智,魂魄,精神的,
物,骨,骸骨,有骨气的,只有骨头的,只剩骨头的,,,,,,骨头,骨架,骨架的,
物,塔,,潜藏在塔中的,闷在塔里的,,,,,,,高塔,,,
物,要塞,堡垒,潜藏在要塞中的,闷在要塞里的,潜藏在堡垒中的,闷在堡垒里的,,,,,碉堡,,,
万能,斗争,争夺,斗争的,无法放弃斗争的,无处可逃的,战斗的,好战的,,,,,,,
万能,魂,心脏,,,,,,,,,灵魂,心灵,灵魂的,心灵的
万能,至宝,,,,,,,,,,,,,
万能,终焉,,最后的,最后就是,向着终焉的,呼唤终焉的,面向终焉的,,,,,,,
万能,死,终结,想死的,寻死之,,,,,,,死亡,告终,死亡的,
万能,终末,末路,没能结束的,不会结束的,不会终结的,永续的,,,,,,,无尽的,
万能,伤,伤痕,致命之,致命的,,,,,,,疤痕,,痕之,
万能,失败,,,,,,,,,,挫败,落败,,
万能,败北,败者,败北的,不败的,不知败北的,,,,,,,,,
万能,胜利,霸者,胜利的,尝到胜利滋味的,,,,,,,获胜,,,
万能,胜利者,胜者,,,,,,,,,冠军,,,
万能,失败者,,,,,,,,,,输家,,,
万能,奇迹,,呼唤奇迹的,引起奇迹的,,,,,,,,,圣迹的,
万能,惊愕,,惊讶的,,,,,,,,,,,
万能,机械,,,,,,,,,,,,,
万能,祭品,,成为祭品的,要求祭品的,不讨厌牺牲的,,,,,,,,,
万能,故事,,代代相传的,被传颂的,,,,,,,,,,
